Oldname,Chain_id,RP
eEF2,Az,eEF2
Rack1,Ag,RACK1
RPS20,AU,uS10
RPS10,AK,eS10
RPS14,AO,uS11
RPS23,AX,uS12
RPS12,AM,eS12
RPS18,AS,uS13
RPS29,Ad,uS14
RPS13,AN,uS15
RPS11,AL,uS17
RPS17,AR,eS17
RPS15,AP,uS19
RPS3A,AB,eS1
RPSA,AA,uS2
RPS21,AV,eS21
RPS24,AY,eS24
RPS25,AZ,eS25
RPS26,Aa,eS26
RPS27,Ab,eS27
RPS28,Ac,eS28
RPS3,AD,uS3
FAU,Ae,eS30
RPS27A,Af,eS31
RPS9,AJ,uS4
RPS4X,AE,eS4
RPS6,AG,eS6
RPS5,AF,uS7
RPS7,AH,eS7
RPS15A,AW,uS8
RPS8,AI,eS8
RPS16,AQ,uS9
SERBP1,Ah,SERBP1
RPL10A,Cz,uL1
RPLP0,Cq,uL10
RPL12,CK,uL11
RPL13A,CO,uL13
RPL13,CL,eL13
RPL23,CV,uL14
RPL14,CM,eL14
RPL27A,Ca,uL15
RPL15,CN,eL15
RPL10L,CI,uL16-like
RPL5,CD,uL18
RPL18,CQ,eL18
RPL19,CR,eL19
RPL8,CA,uL2
RPL18A,CS,eL20
RPL21,CT,eL21
RPL17,CP,uL22
RPL22,CU,eL22
RPL23A,CX,uL23
RPL24,CW,eL24
RPL27,CZ,eL27
RPL35,Ch,uL29
RPL28,Cr,eL28
RPL29,Cb,eL29
RPL3,CB,uL3
RPL7,CF,uL30
RPL30,Cc,eL30
RPL31,Cd,eL31
RPL32,Ce,eL32
RPL35A,Cf,eL33
RPL34,Cg,eL34
RPL36,Ci,eL36
RPL37,Cj,eL37
RPL38,Ck,eL38
RPL39,Cl,eL39
RPL4,CC,uL4
RPL40,Cm,eL40
RPL41,Cn,eL41
RPL37A,Cp,eL43
RP36A,Co,eL42
RPL11,CJ,uL5
RPL9,CH,uL6
RPL6,CE,eL6
RPL7A,CG,eL8
RPLP1,Cs+Ct,P1
RPLP2,Cu+Cv,P2
18s,B2,human_18S
E_tRNA,BC,tRNA
28s,A5,human_28S
5s,A7,human_5S
5p8s,A8,Human_5.8S
RPS2,AC,uS5
RPL26,CY,uL24
